fetched_at,match_time,match_date,home_team,away_team,home_status,away_status,team,side,pos,name,player_id,status,profile_url
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,GK,Yahia Fofana,37069,,https://www.rotowire.com/soccer/player/yahia-fofana-37069
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,DL,Ghislain Konan,26529,,https://www.rotowire.com/soccer/player/ghislain-konan-26529
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,DC,Ousmane Diomande,38747,,https://www.rotowire.com/soccer/player/ousmane-diomande-38747
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,DC,Odilon Kossounou,29818,,https://www.rotowire.com/soccer/player/odilon-kossounou-29818
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,DR,Guela Doue,37601,,https://www.rotowire.com/soccer/player/guela-doue-37601
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,DMC,Ibrahim Sangare,21982,,https://www.rotowire.com/soccer/player/ibrahim-sangare-21982
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,ML,Yan Diomande,46409,,https://www.rotowire.com/soccer/player/yan-diomande-46409
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,MC,Christ Inao Oulai,47978,,https://www.rotowire.com/soccer/player/christ-inao-oulai-47978
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,MC,Franck Kessie,21954,,https://www.rotowire.com/soccer/player/franck-kessie-21954
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,MR,Amad Diallo,30618,,https://www.rotowire.com/soccer/player/amad-diallo-30618
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,CIV,home,FW,Nicolas Pepe,21915,,https://www.rotowire.com/soccer/player/nicolas-pepe-21915
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,GK,Orjan Nyland,19899,,https://www.rotowire.com/soccer/player/orjan-nyland-19899
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,DL,David Moller Wolfe,44313,,https://www.rotowire.com/soccer/player/david-moller-wolfe-44313
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,DC,Torbjorn Heggem,44621,,https://www.rotowire.com/soccer/player/torbjorn-heggem-44621
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,DC,Kristoffer Ajer,22869,,https://www.rotowire.com/soccer/player/kristoffer-ajer-22869
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,DR,Marcus Pedersen,33845,,https://www.rotowire.com/soccer/player/marcus-pedersen-33845
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,MC,Fredrik Aursnes,33859,,https://www.rotowire.com/soccer/player/fredrik-aursnes-33859
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,MC,Martin Odegaard,18746,,https://www.rotowire.com/soccer/player/martin-odegaard-18746
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,MC,Sander Berge,29740,,https://www.rotowire.com/soccer/player/sander-berge-29740
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,FWL,Antonio Nusa,35612,,https://www.rotowire.com/soccer/player/antonio-nusa-35612
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,FWR,Alexander Sorloth,25428,,https://www.rotowire.com/soccer/player/alexander-sorloth-25428
2026-06-30T11:00:25Z,June 301:00 PM ET,2026-06-30,CIV,NOR,Predicted Lineup,Predicted Lineup,NOR,away,FW,Erling Haaland,29664,,https://www.rotowire.com/soccer/player/erling-haaland-29664
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,GK,Mike Maignan,18437,,https://www.rotowire.com/soccer/player/mike-maignan-18437
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DL,Lucas Digne,17586,,https://www.rotowire.com/soccer/player/lucas-digne-17586
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DC,Dayot Upamecano,23324,,https://www.rotowire.com/soccer/player/dayot-upamecano-23324
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DC,William Saliba,26575,,https://www.rotowire.com/soccer/player/william-saliba-26575
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DR,Jules Kounde,25317,,https://www.rotowire.com/soccer/player/jules-kounde-25317
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DMC,Aurelien Tchouameni,26546,,https://www.rotowire.com/soccer/player/aurelien-tchouameni-26546
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,DMC,Adrien Rabiot,18440,,https://www.rotowire.com/soccer/player/adrien-rabiot-18440
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,AML,Bradley Barcola,35762,,https://www.rotowire.com/soccer/player/bradley-barcola-35762
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,AMC,Michael Olise,31393,,https://www.rotowire.com/soccer/player/michael-olise-31393
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,AMR,Ousmane Dembele,20403,,https://www.rotowire.com/soccer/player/ousmane-dembele-20403
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,FRA,home,FW,Kylian Mbappe,20285,,https://www.rotowire.com/soccer/player/kylian-mbappe-20285
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,GK,Kristoffer Nordfeldt,19164,,https://www.rotowire.com/soccer/player/kristoffer-nordfeldt-19164
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,DC,Victor Lindelof,18234,,https://www.rotowire.com/soccer/player/victor-lindelof-18234
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,DC,Gabriel Gudmundsson,35627,,https://www.rotowire.com/soccer/player/gabriel-gudmundsson-35627
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,DC,Gustaf Lagerbielke,40531,,https://www.rotowire.com/soccer/player/gustaf-lagerbielke-40531
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,ML,Elliot Stroud,48188,,https://www.rotowire.com/soccer/player/elliot-stroud-48188
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,MC,Jesper Karlstrom,44015,,https://www.rotowire.com/soccer/player/jesper-karlstrom-44015
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,MC,Yasin Ayari,38732,,https://www.rotowire.com/soccer/player/yasin-ayari-38732
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,MR,Alexander Bernhardsson,43990,,https://www.rotowire.com/soccer/player/alexander-bernhardsson-43990
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,FWL,Alexander Isak,23369,,https://www.rotowire.com/soccer/player/alexander-isak-23369
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,FWR,Anthony Elanga,34595,,https://www.rotowire.com/soccer/player/anthony-elanga-34595
2026-06-30T11:00:25Z,June 305:00 PM ET,2026-06-30,FRA,SWE,Predicted Lineup,Predicted Lineup,SWE,away,FW,Viktor Gyokeres,26991,,https://www.rotowire.com/soccer/player/viktor-gyokeres-26991
2026-06-30T11:00:25Z,June 309:00 PM ET,2026-06-30,MEX,ECU,Predicted Lineup,Predicted Lineup,MEX,home,GK,Jose Rangel,36628,,https://www.rotowire.com/soccer/player/jose-rangel-36628
